date,province,country,lat,long,type,cases
18-04-2020,,Afghanistan,33.93911,67.709953,confirmed,27
19-04-2020,,Afghanistan,33.93911,67.709953,confirmed,63
20-04-2020,,Afghanistan,33.93911,67.709953,confirmed,30
21-04-2020,,Afghanistan,33.93911,67.709953,confirmed,66
22-04-2020,,Afghanistan,33.93911,67.709953,confirmed,84
23-04-2020,,Afghanistan,33.93911,67.709953,confirmed,103
24-04-2020,,Afghanistan,33.93911,67.709953,confirmed,72
25-04-2020,,Afghanistan,33.93911,67.709953,confirmed,112
26-04-2020,,Afghanistan,33.93911,67.709953,confirmed,68
27-04-2020,,Afghanistan,33.93911,67.709953,confirmed,172
28-04-2020,,Afghanistan,33.93911,67.709953,confirmed,125
29-04-2020,,Afghanistan,33.93911,67.709953,confirmed,111
30-04-2020,,Afghanistan,33.93911,67.709953,confirmed,232
01-05-2020,,Afghanistan,33.93911,67.709953,confirmed,164
02-05-2020,,Afghanistan,33.93911,67.709953,confirmed,134
03-05-2020,,Afghanistan,33.93911,67.709953,confirmed,235
04-05-2020,,Afghanistan,33.93911,67.709953,confirmed,190
05-05-2020,,Afghanistan,33.93911,67.709953,confirmed,330
06-05-2020,,Afghanistan,33.93911,67.709953,confirmed,168
07-05-2020,,Afghanistan,33.93911,67.709953,confirmed,171
08-05-2020,,Afghanistan,33.93911,67.709953,confirmed,215
09-05-2020,,Afghanistan,33.93911,67.709953,confirmed,255
10-05-2020,,Afghanistan,33.93911,67.709953,confirmed,369
11-05-2020,,Afghanistan,33.93911,67.709953,confirmed,285
12-05-2020,,Afghanistan,33.93911,67.709953,confirmed,276
13-05-2020,,Afghanistan,33.93911,67.709953,confirmed,263
14-05-2020,,Afghanistan,33.93911,67.709953,confirmed,413
15-05-2020,,Afghanistan,33.93911,67.709953,confirmed,414
16-05-2020,,Afghanistan,33.93911,67.709953,confirmed,349
17-05-2020,,Afghanistan,33.93911,67.709953,confirmed,262
18-05-2020,,Afghanistan,33.93911,67.709953,confirmed,408
19-05-2020,,Afghanistan,33.93911,67.709953,confirmed,581
